Start Date,End Date,Week
2022-01-02,2022-01-08,1
2022-01-09,2022-01-15,2
2022-01-16,2022-01-22,3
2022-01-23,2022-01-29,4
2022-01-30,2022-02-05,5
2022-02-06,2022-02-12,6
2022-02-13,2022-02-19,7
2022-02-20,2022-02-26,8
2022-02-27,2022-03-05,9
2022-03-06,2022-03-12,10
2022-03-13,2022-03-19,11
2022-03-20,2022-03-26,12
2022-03-27,2022-04-02,13
2022-04-03,2022-04-09,14
2022-04-10,2022-04-16,15
2022-04-17,2022-04-23,16
2022-04-24,2022-04-30,17
2022-05-01,2022-05-07,18
2022-05-08,2022-05-14,19
2022-05-15,2022-05-21,20
2022-05-22,2022-05-28,21
2022-05-29,2022-06-04,22
2022-06-05,2022-06-11,23
2022-06-12,2022-06-18,24
2022-06-19,2022-06-25,25
2022-06-26,2022-07-02,26
2022-07-03,2022-07-09,27
2022-07-10,2022-07-16,28
2022-07-17,2022-07-23,29
2022-07-24,2022-07-30,30
2022-07-31,2022-08-06,31
2022-08-07,2022-08-13,32
2022-08-14,2022-08-20,33
2022-08-21,2022-08-27,34
2022-08-28,2022-09-03,35
2022-09-04,2022-09-10,36
2022-09-11,2022-09-17,37
2022-09-18,2022-09-24,38
2022-09-25,2022-10-01,39
2022-10-02,2022-10-08,40
2022-10-09,2022-10-15,41
2022-10-16,2022-10-22,42
2022-10-23,2022-10-29,43
2022-10-30,2022-11-05,44
2022-11-06,2022-11-12,45
2022-11-13,2022-11-19,46
2022-11-20,2022-11-26,47
2022-11-27,2022-12-03,48
2022-12-04,2022-12-10,49
2022-12-11,2022-12-17,50
2022-12-18,2022-12-24,51
2022-12-25,2022-12-31,52
2023-01-01,2023-01-07,1
2023-01-08,2023-01-14,2
2023-01-15,2023-01-21,3
2023-01-22,2023-01-28,4
2023-01-29,2023-02-04,5
2023-02-05,2023-02-11,6
2023-02-12,2023-02-18,7
2023-02-19,2023-02-25,8
2023-02-26,2023-03-04,9
2023-03-05,2023-03-11,10
2023-03-12,2023-03-18,11
2023-03-19,2023-03-25,12
